gene,cancer_type,tumor_expression,survival_association,geo_validation,depmap_dependency,normal_tissue_safety,mutation_cna_support,novelty_score,notes
MKI67,GBM,positive,negative,partial,strong,moderate,weak,low,Proliferation marker; strong biological signal but low novelty.
KMT2D,Sarcoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: KMT2D in Sarcoma; pathway context: Epigenetic regulation.
KRAS,Sarcoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: KRAS in Sarcoma; pathway context: RAS-MAPK signaling.
MDM2,Sarcoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MDM2 in Sarcoma; pathway context: p53 pathway.
MDM4,Sarcoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MDM4 in Sarcoma; pathway context: p53 pathway.
MET,Sarcoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MET in Sarcoma; pathway context: RTK signaling.
MLH1,Sarcoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: MLH1 in Sarcoma; pathway context: Mismatch repair / MSI.
MSH2,Sarcoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: MSH2 in Sarcoma; pathway context: Mismatch repair / MSI.
MSH6,Sarcoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: MSH6 in Sarcoma; pathway context: Mismatch repair / MSI.
MSLN,Sarcoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: MSLN in Sarcoma; pathway context: Tumor antigen / adhesion.
MTOR,Sarcoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: MTOR in Sarcoma; pathway context: PI3K-AKT-mTOR signaling.
MUC1,Sarcoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: MUC1 in Sarcoma; pathway context: Epithelial antigen / mucin biology.
MUC16,Sarcoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: MUC16 in Sarcoma; pathway context: Epithelial antigen / mucin biology.
MYC,Sarcoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MYC in Sarcoma; pathway context: MYC/proliferation program.
NECTIN4,Sarcoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: NECTIN4 in Sarcoma; pathway context: Tumor antigen.
NFE2L2,Sarcoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: NFE2L2 in Sarcoma; pathway context: Oxidative stress / NRF2.
NOTCH1,Sarcoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: NOTCH1 in Sarcoma; pathway context: Notch signaling.
NOTCH2,Sarcoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: NOTCH2 in Sarcoma; pathway context: Notch signaling.
NRAS,Sarcoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: NRAS in Sarcoma; pathway context: RAS-MAPK signaling.
NTRK1,Sarcoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: NTRK1 in Sarcoma; pathway context: RTK / fusion signaling.
PALB2,Sarcoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: PALB2 in Sarcoma; pathway context: DNA repair / HRD.
PDCD1LG2,Sarcoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: PDCD1LG2 in Sarcoma; pathway context: Immune checkpoint.
PDGFRA,Sarcoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: PDGFRA in Sarcoma; pathway context: Cancer-associated pathway context.
PIK3CA,Sarcoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: PIK3CA in Sarcoma; pathway context: PI3K-AKT signaling.
PIK3R1,Sarcoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: PIK3R1 in Sarcoma; pathway context: PI3K-AKT signaling.
PMS2,Sarcoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: PMS2 in Sarcoma; pathway context: Mismatch repair / MSI.
PTEN,Sarcoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: PTEN in Sarcoma; pathway context: PI3K-AKT signaling.
RAD51,Sarcoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: RAD51 in Sarcoma; pathway context: DNA repair / HRD.
RB1,Sarcoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: RB1 in Sarcoma; pathway context: Cell cycle.
SMAD4,Sarcoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: SMAD4 in Sarcoma; pathway context: TGF-beta signaling.
SMARCA4,Sarcoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: SMARCA4 in Sarcoma; pathway context: Chromatin remodeling.
SMARCB1,Sarcoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: SMARCB1 in Sarcoma; pathway context: Chromatin remodeling.
SS18,Sarcoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: SS18 in Sarcoma; pathway context: Cancer-associated pathway context.
TERT,Sarcoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: TERT in Sarcoma; pathway context: Telomere maintenance.
TGFBR2,Sarcoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: TGFBR2 in Sarcoma; pathway context: TGF-beta signaling.
TP53,Sarcoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: TP53 in Sarcoma; pathway context: Tumor-suppressor pathway.
TROP2,Sarcoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: TROP2 in Sarcoma; pathway context: Tumor antigen.
VEGFA,Sarcoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: VEGFA in Sarcoma; pathway context: Angiogenesis / microenvironment.
AKT1,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: AKT1 in Testicular germ cell tumor; pathway context: PI3K-AKT signaling.
APC,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: APC in Testicular germ cell tumor; pathway context: WNT signaling.
ARID1A,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: ARID1A in Testicular germ cell tumor; pathway context: Chromatin remodeling.
ARID1B,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: ARID1B in Testicular germ cell tumor; pathway context: Chromatin remodeling.
ATM,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: ATM in Testicular germ cell tumor; pathway context: DNA damage response.
ATR,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: ATR in Testicular germ cell tumor; pathway context: DNA damage response.
B2M,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: B2M in Testicular germ cell tumor; pathway context: Antigen presentation.
BRAF,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: BRAF in Testicular germ cell tumor; pathway context: MAPK signaling.
BRCA1,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: BRCA1 in Testicular germ cell tumor; pathway context: DNA repair / HRD.
BRCA2,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: BRCA2 in Testicular germ cell tumor; pathway context: DNA repair / HRD.
CCND1,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CCND1 in Testicular germ cell tumor; pathway context: Cell cycle.
CCND2,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CCND2 in Testicular germ cell tumor; pathway context: Cell cycle.
CD274,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: CD274 in Testicular germ cell tumor; pathway context: Immune checkpoint.
CD276,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: CD276 in Testicular germ cell tumor; pathway context: Immune checkpoint / tumor antigen.
CDK4,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CDK4 in Testicular germ cell tumor; pathway context: Cell cycle.
CDK6,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CDK6 in Testicular germ cell tumor; pathway context: Cell cycle.
CDKN2A,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: CDKN2A in Testicular germ cell tumor; pathway context: Cell cycle.
CDKN2B,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: CDKN2B in Testicular germ cell tumor; pathway context: Cell cycle.
CHEK1,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CHEK1 in Testicular germ cell tumor; pathway context: DNA damage response.
CHEK2,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: CHEK2 in Testicular germ cell tumor; pathway context: DNA damage response.
CLDN18,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: CLDN18 in Testicular germ cell tumor; pathway context: Epithelial antigen / tight junction.
CREBBP,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: CREBBP in Testicular germ cell tumor; pathway context: Epigenetic regulation.
CTNNB1,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CTNNB1 in Testicular germ cell tumor; pathway context: WNT signaling.
EGFR,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: EGFR in Testicular germ cell tumor; pathway context: RTK signaling.
EP300,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: EP300 in Testicular germ cell tumor; pathway context: Epigenetic regulation.
EPCAM,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: EPCAM in Testicular germ cell tumor; pathway context: Epithelial antigen / adhesion.
ERBB2,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: ERBB2 in Testicular germ cell tumor; pathway context: RTK signaling.
ERBB3,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: ERBB3 in Testicular germ cell tumor; pathway context: RTK signaling.
FBXW7,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: FBXW7 in Testicular germ cell tumor; pathway context: Protein turnover.
HIF1A,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: HIF1A in Testicular germ cell tumor; pathway context: Hypoxia / angiogenesis.
HRAS,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: HRAS in Testicular germ cell tumor; pathway context: RAS-MAPK signaling.
JAK1,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: JAK1 in Testicular germ cell tumor; pathway context: JAK-STAT / immune signaling.
JAK2,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: JAK2 in Testicular germ cell tumor; pathway context: JAK-STAT / immune signaling.
KEAP1,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: KEAP1 in Testicular germ cell tumor; pathway context: Oxidative stress / NRF2.
KIT,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: KIT in Testicular germ cell tumor; pathway context: Cancer-associated pathway context.
KMT2C,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: KMT2C in Testicular germ cell tumor; pathway context: Epigenetic regulation.
KMT2D,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: KMT2D in Testicular germ cell tumor; pathway context: Epigenetic regulation.
KRAS,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: KRAS in Testicular germ cell tumor; pathway context: RAS-MAPK signaling.
MDM2,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MDM2 in Testicular germ cell tumor; pathway context: p53 pathway.
MDM4,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MDM4 in Testicular germ cell tumor; pathway context: p53 pathway.
MET,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MET in Testicular germ cell tumor; pathway context: RTK signaling.
MLH1,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: MLH1 in Testicular germ cell tumor; pathway context: Mismatch repair / MSI.
MSH2,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: MSH2 in Testicular germ cell tumor; pathway context: Mismatch repair / MSI.
MSH6,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: MSH6 in Testicular germ cell tumor; pathway context: Mismatch repair / MSI.
MSLN,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: MSLN in Testicular germ cell tumor; pathway context: Tumor antigen / adhesion.
MTOR,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: MTOR in Testicular germ cell tumor; pathway context: PI3K-AKT-mTOR signaling.
MUC1,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: MUC1 in Testicular germ cell tumor; pathway context: Epithelial antigen / mucin biology.
MUC16,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: MUC16 in Testicular germ cell tumor; pathway context: Epithelial antigen / mucin biology.
MYC,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MYC in Testicular germ cell tumor; pathway context: MYC/proliferation program.
NECTIN4,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: NECTIN4 in Testicular germ cell tumor; pathway context: Tumor antigen.
NFE2L2,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: NFE2L2 in Testicular germ cell tumor; pathway context: Oxidative stress / NRF2.
NOTCH1,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: NOTCH1 in Testicular germ cell tumor; pathway context: Notch signaling.
NOTCH2,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: NOTCH2 in Testicular germ cell tumor; pathway context: Notch signaling.
NRAS,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: NRAS in Testicular germ cell tumor; pathway context: RAS-MAPK signaling.
PALB2,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: PALB2 in Testicular germ cell tumor; pathway context: DNA repair / HRD.
PDCD1LG2,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: PDCD1LG2 in Testicular germ cell tumor; pathway context: Immune checkpoint.
PIK3CA,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: PIK3CA in Testicular germ cell tumor; pathway context: PI3K-AKT signaling.
PIK3R1,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: PIK3R1 in Testicular germ cell tumor; pathway context: PI3K-AKT signaling.
PMS2,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: PMS2 in Testicular germ cell tumor; pathway context: Mismatch repair / MSI.
PTEN,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: PTEN in Testicular germ cell tumor; pathway context: PI3K-AKT signaling.
RAD51,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: RAD51 in Testicular germ cell tumor; pathway context: DNA repair / HRD.
RB1,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: RB1 in Testicular germ cell tumor; pathway context: Cell cycle.
SMAD4,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: SMAD4 in Testicular germ cell tumor; pathway context: TGF-beta signaling.
SMARCA4,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: SMARCA4 in Testicular germ cell tumor; pathway context: Chromatin remodeling.
SMARCB1,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: SMARCB1 in Testicular germ cell tumor; pathway context: Chromatin remodeling.
TERT,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: TERT in Testicular germ cell tumor; pathway context: Telomere maintenance.
TGFBR2,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: TGFBR2 in Testicular germ cell tumor; pathway context: TGF-beta signaling.
TP53,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: TP53 in Testicular germ cell tumor; pathway context: Tumor-suppressor pathway.
TROP2,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: TROP2 in Testicular germ cell tumor; pathway context: Tumor antigen.
VEGFA,Testicular germ cell tumor,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: VEGFA in Testicular germ cell tumor; pathway context: Angiogenesis / microenvironment.
AKT1,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: AKT1 in Thyroid cancer; pathway context: PI3K-AKT signaling.
APC,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: APC in Thyroid cancer; pathway context: WNT signaling.
ARID1A,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: ARID1A in Thyroid cancer; pathway context: Chromatin remodeling.
ARID1B,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: ARID1B in Thyroid cancer; pathway context: Chromatin remodeling.
ATM,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: ATM in Thyroid cancer; pathway context: DNA damage response.
ATR,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: ATR in Thyroid cancer; pathway context: DNA damage response.
B2M,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: B2M in Thyroid cancer; pathway context: Antigen presentation.
BRAF,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: BRAF in Thyroid cancer; pathway context: MAPK signaling.
BRCA1,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: BRCA1 in Thyroid cancer; pathway context: DNA repair / HRD.
BRCA2,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: BRCA2 in Thyroid cancer; pathway context: DNA repair / HRD.
CCND1,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CCND1 in Thyroid cancer; pathway context: Cell cycle.
CD274,Thyroid cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: CD274 in Thyroid cancer; pathway context: Immune checkpoint.
CD276,Thyroid cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: CD276 in Thyroid cancer; pathway context: Immune checkpoint / tumor antigen.
CDK4,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CDK4 in Thyroid cancer; pathway context: Cell cycle.
CDK6,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CDK6 in Thyroid cancer; pathway context: Cell cycle.
CDKN2A,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: CDKN2A in Thyroid cancer; pathway context: Cell cycle.
CDKN2B,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: CDKN2B in Thyroid cancer; pathway context: Cell cycle.
CHEK1,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CHEK1 in Thyroid cancer; pathway context: DNA damage response.
CHEK2,Thyroid cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: CHEK2 in Thyroid cancer; pathway context: DNA damage response.
CLDN18,Thyroid cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: CLDN18 in Thyroid cancer; pathway context: Epithelial antigen / tight junction.
